OBJECTID,ZIP,ZIPCODE,COUNTY,ZIP_TYPE,COUNTY_NAME,PREFERRED_CITY,Shape_Length,Shape_Area
54,98072,98072,033,Standard,King County,WOODINVILLE,118806.069869376,368741989.417852
55,98072,98072,061,Standard,Snohomish County,WOODINVILLE,78248.2343957091,151344185.85668
56,98074,98074,033,Standard,King County,SAMMAMISH,115554.667658032,327749795.429323
57,98075,98075,033,Standard,King County,SAMMAMIISH,126714.367013584,290322990.102129
58,98077,98077,033,Standard,King County,WOODINVILLE,117061.095407962,419740022.552726
59,98077,98077,061,Standard,Snohomish County,WOODINVILLE,50110.1240030627,75926072.5352454
60,98087,98087,061,Standard,Snohomish County,LYNNWOOD,68003.5198361596,156580450.322233
61,98092,98092,033,Standard,King County,AUBURN,266634.927532791,1212408006.32272
62,98092,98092,053,Standard,Pierce County,AUBURN,35672.5520369753,46337339.4642583
63,98101,98101,033,Standard,King County,SEATTLE,23748.4588043974,14673823.8986095
64,98102,98102,033,Standard,King County,SEATTLE,37488.7807910592,43221885.4995682
65,98103,98103,033,Standard,King County,SEATTLE,72628.5599181018,143997337.405488
66,98104,98104,033,Standard,King County,SEATTLE,36425.1186548463,20982559.2140128
67,98105,98105,033,Standard,King County,SEATTLE,77943.0942340667,97051831.3426153
68,98106,98106,033,Standard,King County,SEATTLE,80455.7901297413,148002386.892324
69,98107,98107,033,Standard,King County,SEATTLE,53097.1354850423,65501026.0614425
70,98108,98108,033,Standard,King County,SEATTLE,84971.3138009158,215211172.382826
71,98109,98109,033,Standard,King County,SEATTLE,40749.0341774633,66355767.7691773
72,98110,98110,035,Standard,Kitsap County,BAINBRIDGE ISLAND,261622.880832056,757413743.748941
73,98112,98112,033,Standard,King County,SEATTLE,65751.6834750272,88124005.2852771
74,98115,98115,033,Standard,King County,SEATTLE,77632.4079321563,181317359.611932
75,98116,98116,033,Standard,King County,SEATTLE,46388.4633556365,81507188.5247749
76,98117,98117,033,Standard,King County,SEATTLE,55894.1915550347,107307326.762175
77,98118,98118,033,Standard,King County,SEATTLE,92383.4316127201,170693409.298752
78,98119,98119,033,Standard,King County,SEATTLE,58359.9105684518,77387613.4002916
79,98121,98121,033,Standard,King County,SEATTLE,25270.263640349,12252192.9647896
80,98122,98122,033,Standard,King County,SEATTLE,49404.3813460707,64639224.3102612
81,98125,98125,033,Standard,King County,SEATTLE,66923.8597162045,149681846.041029
82,98126,98126,033,Standard,King County,SEATTLE,83599.9494316702,96510352.6498037
83,98133,98133,033,Standard,King County,SEATTLE,94774.5882215956,195693848.437673
84,98134,98134,033,Standard,King County,SEATTLE,65280.9818809839,112354808.268651
85,98136,98136,033,Standard,King County,SEATTLE,52855.0484722078,63186201.6268789
86,98144,98144,033,Standard,King County,SEATTLE,52220.909681891,92497106.3428605
87,98146,98146,033,Standard,King County,SEATTLE,63576.4022173619,126436170.35124
88,98148,98148,033,Standard,King County,SEATTLE,69483.6712334839,79617015.2642589
89,98154,98154,033,Standard,King County,SEATTLE,1105.87403025575,76423.2300881511
90,98155,98155,033,Standard,King County,SEATTLE,72017.6446788025,211814572.76473
91,98158,98158,033,Standard,King County,SEATTLE,34571.1135307892,58144733.2706319
92,98164,98164,033,Standard,King County,SEATTLE,1115.5232034814,77740.1683586222
93,98166,98166,033,Standard,King County,SEATTLE,89694.9827201894,158132764.709775
94,98168,98168,033,Standard,King County,SEATTLE,105513.044307537,258959463.097102
95,98177,98177,033,Standard,King County,SEATTLE,95410.3985421324,159562985.448279
96,98177,98177,061,Standard,Snohomish County,SEATTLE,5897.64668313395,1716364.83625394
97,98178,98178,033,Standard,King County,SEATTLE,67151.963867579,135341124.218921
98,98188,98188,033,Standard,King County,SEATTLE,94700.0625810015,218504384.686062
99,98195,98195,033,Standard,King County,SEATTLE,23454.9008044855,21701391.2746659
100,98198,98198,033,Standard,King County,SEATTLE,120954.750649785,212912872.25335
101,98199,98199,033,Standard,King County,SEATTLE,56408.7224198837,113219193.342285
102,98201,98201,061,Standard,Snohomish County,EVERETT,80933.1744771278,193032742.872788
103,98203,98203,061,Standard,Snohomish County,EVERETT,94739.6544754597,317634421.607555
104,98204,98204,061,Standard,Snohomish County,EVERETT,83247.2016593664,250191196.918369
105,98205,98205,061,Standard,Snohomish County,EVERETT,203110.976557289,632952840.929091
106,98206,98260,061,Standard,Snohomish County,LANGLEY,22790.6534398866,19121911.0979738
107,98208,98208,061,Standard,Snohomish County,EVERETT,140817.66610917,361491036.029275
108,98223,98223,061,Standard,Snohomish County,ARLINGTON,573249.36932447,9188799827.53695
109,98224,98224,033,PO Box,King County,BARING,187335.039772593,1720744792.49112
110,98241,98241,061,Standard,Snohomish County,DARRINGTON,489725.415549831,10702285410.1068
111,98251,98251,061,Standard,Snohomish County,GOLD BAR,170540.045841864,1365169847.31694
112,98252,98252,061,Standard,Snohomish County,GRANITE FALLS,655587.480414569,11458033795.596
113,98258,98258,061,Standard,Snohomish County,LAKE STEVENS,188174.037646858,746870626.739434
114,98270,98270,061,Standard,Snohomish County,MARYSVILLE,129683.810503231,401548254.191824
115,98271,98271,061,Standard,Snohomish County,MARYSVILLE,279768.294508138,1414291571.84953
116,98272,98272,061,Standard,Snohomish County,MONROE,284142.289439547,2511788906.43363
117,98275,98275,061,Standard,Snohomish County,MUKILTEO,81557.5453631836,184620798.585354
118,98282,98282,061,Standard,Snohomish County,CAMANO ISLAND,23945.8895118138,21936739.1889824
119,98288,98288,033,PO Box,King County,SKYKOMISH,484891.351634073,8749463725.57264
120,98290,98290,061,Standard,Snohomish County,SNOHOMISH,347710.853609905,2852193029.44153
121,98292,98292,061,Standard,Snohomish County,STANWOOD,269935.392546945,2032125803.42066
122,98294,98294,061,Standard,Snohomish County,SULTAN,621328.89328959,10936936885.6779
123,98296,98296,061,Standard,Snohomish County,SNOHOMISH,263970.855672082,1048106698.3611
124,98303,98303,053,Standard,Pierce County,ANDERSON ISLAND,100332.430277253,224054989.5658
125,98304,98304,053,Standard,Pierce County,ASHFORD,148164.538100714,322185529.255085
126,98310,98310,035,Standard,Kitsap County,BREMERTON,53742.9544058882,151938878.423444
127,98311,98311,035,Standard,Kitsap County,BREMERTON,80184.5342486696,305252168.756766
128,98312,98312,035,Standard,Kitsap County,BREMERTON,309277.301391635,1815260051.09847
129,98314,98314,035,Unique,Kitsap County,BREMERTON,47284.4816262879,17243414.8815136
130,98315,98315,035,Standard,Kitsap County,SILVERDALE,89492.0180206183,305686874.915044
131,98321,98321,053,Standard,Pierce County,BUCKLEY,203533.627868084,1143293737.21058
132,98323,98323,053,Standard,Pierce County,CARBONADO,161148.783648178,826550521.678505
133,98327,98327,053,Standard,Pierce County,DUPONT,95271.3944033658,192972502.01469
134,98328,98328,053,Standard,Pierce County,EATONVILLE,304188.897703458,2717657378.75255
135,98329,98329,053,Standard,Pierce County,GIG HARBOR,157239.465509409,720554062.162433
136,98330,98330,053,Standard,Pierce County,ELBE,45773.0855714593,53285055.2628591
137,98332,98332,053,Standard,Pierce County,GIG HARBOR,133917.847569236,584193953.63792
138,98333,98333,053,Standard,Pierce County,FOX ISLAND,77598.048520486,143543103.462987
139,98335,98335,053,Standard,Pierce County,GIG HARBOR,183845.813152139,624049842.061831
140,98337,98337,035,Standard,Kitsap County,BREMERTON,23679.1687282685,26585842.7289696
141,98338,98338,053,Standard,Pierce County,GRAHAM,224377.437630031,1600401562.80929
142,98340,98340,035,Standard,Kitsap County,HANSVILLE,92459.7274660116,200154613.762434
143,98342,98342,035,Standard,Kitsap County,INDIANOLA,52169.883469774,94643089.6344802
144,98345,98345,035,PO Box,Kitsap County,KEYPORT,25005.6026396927,12546439.2347661
145,98346,98346,035,Standard,Kitsap County,KINGSTON,208885.717737245,690648859.113622
146,98349,98349,053,Standard,Pierce County,LAKEBAY,191076.148707963,593732273.123506
147,98351,98351,053,Standard,Pierce County,LONGBRANCH,108589.44020746,255301603.540799
148,98354,98354,033,Standard,King County,MILTON,25310.3795742807,15004869.6511532
149,98354,98354,053,Standard,Pierce County,MILTON,41500.7194148439,57586161.1375738
150,98359,98359,035,Standard,Kitsap County,OLALLA,96069.3162223938,382122913.43151
151,98360,98360,053,Standard,Pierce County,ORTING,253905.892081347,1460825810.74423
152,98366,98366,035,Standard,Kitsap County,PORT ORCHARD,183219.062739323,660949212.963132
153,98367,98367,035,Standard,Kitsap County,PORT ORCHARD,231810.021250127,2171137806.04173
154,98370,98370,035,Standard,Kitsap County,POULSBO,380458.028253444,1649530607.26885
155,98371,98371,053,Standard,Pierce County,PUYALLUP,94169.3117630309,362704639.243807
156,98372,98372,053,Standard,Pierce County,PUYALLUP,108969.639015604,373917060.363163
157,98373,98373,053,Standard,Pierce County,PUYALLUP,64284.7284115207,257979684.614837
158,98374,98374,053,Standard,Pierce County,PUYALLUP,108095.145660153,467542203.688638
159,98375,98375,053,Standard,Pierce County,PUYALLUP,65271.0364044036,258436981.076223
160,98380,98380,035,Standard,Kitsap County,SEABECK,258881.63624543,1277849520.03771
161,98383,98383,035,Standard,Kitsap County,SILVERDALE,143446.441624924,466266247.526873
162,98385,98385,053,Standard,Pierce County,SOUTH PRAIRIE,13894.8279792335,11206789.0517275
163,98387,98387,053,Standard,Pierce County,SPANAWAY,222586.298015202,600727096.47732
164,98388,98388,053,Standard,Pierce County,STEILACOOM,150472.326626288,270365040.708388
165,98390,98390,053,Standard,Pierce County,SUMNER,102124.291492003,259404678.153172
166,98391,98391,053,Standard,Pierce County,BONNEY LAKE,202315.412716369,1066848816.16266
167,98392,98392,035,Standard,Kitsap County,SUQUAMISH,43995.6057693667,51250366.0680654
168,98394,98394,053,Standard,Pierce County,VAUGHN,79405.8937056336,133404688.178541
169,98396,98396,053,Standard,Pierce County,WILKESON,735525.483097261,12041118450.9687
170,98397,98397,053,Standard,Pierce County,LONGMIRE,428882.206996894,8546367830.66873
171,98402,98402,053,Standard,Pierce County,TACOMA,30734.1758557716,26122235.4721448
172,98403,98403,053,Standard,Pierce County,TACOMA,23495.0333527643,28909375.6830645
173,98404,98404,053,Standard,Pierce County,TACOMA,61572.1532475272,216064462.51601
174,98405,98405,053,Standard,Pierce County,TACOMA,50261.100128424,119311831.310461
175,98406,98406,053,Standard,Pierce County,TACOMA,74118.9712239438,108837257.148837
176,98407,98407,053,Standard,Pierce County,TACOMA,71745.4484657602,155761059.396357
177,98408,98408,053,Standard,Pierce County,TACOMA,40949.9216956624,95930078.0846862
178,98409,98409,053,Standard,Pierce County,TACOMA,74004.1799257125,203658771.395322
179,98416,98416,053,Unique,Pierce County,TACOMA,9681.51226136949,4084771.55624899
180,98418,98418,053,Standard,Pierce County,TACOMA,27782.0268112828,46885764.1226016
181,98421,98421,053,Standard,Pierce County,TACOMA,121126.149870359,180865484.646134
182,98422,98422,033,Standard,King County,TACOMA,18681.5169608148,1593000.05017631
183,98422,98422,053,Standard,Pierce County,TACOMA,93055.1759470108,185729817.247069
184,98424,98424,053,Standard,Pierce County,TACOMA,70301.3632964295,151535020.460355
185,98430,98430,053,Standard,Pierce County,CAMP MURRAY,16682.2916373454,13323856.205509
186,98433,98433,053,Standard,Pierce County,TACOMA,364517.857849181,2980326383.99468
187,98438,98438,053,Standard,Pierce County,TACOMA,74075.4039876706,179111621.16739
188,98439,98439,053,Standard,Pierce County,LAKEWOOD,31208.6746879129,32367051.3095343
189,98443,98443,053,Standard,Pierce County,TACOMA,51842.2282453735,138725726.1697
190,98444,98444,053,Standard,Pierce County,TACOMA,84939.7842849281,193899333.485341
191,98445,98445,053,Standard,Pierce County,TACOMA,95666.1493196208,302059701.039174
192,98446,98446,053,Standard,Pierce County,TACOMA,92261.2847446496,303052697.022457
193,98447,98447,053,Unique,Pierce County,TACOMA,9413.06547618663,3176084.47231763
194,98465,98465,053,Standard,Pierce County,TACOMA,35511.7127978172,52783838.1541694
195,98466,98466,053,Standard,Pierce County,TACOMA,61175.8867076834,162812597.529725
196,98467,98467,053,Standard,Pierce County,UNIVERSITY PLACE,56520.8717446945,126466429.452082
197,98498,98498,053,Standard,Pierce County,LAKEWOOD,94191.6298205216,271504227.425359
198,98499,98499,053,Standard,Pierce County,LAKEWOOD,82258.8314442442,258668276.067722
199,98580,98580,053,Standard,Pierce County,ROY,234421.90642829,1813778218.6739
200,98826,98826,007,Standard,Chelan County,LEAVENWORTH,845445.555911526,26179809172.1053
201,98922,98922,037,Standard,Kittitas County,CLE ELUM,871202.840237978,17220076338.9379
202,98925,98925,037,Standard,Kittitas County,EASTON,513881.75561834,5997914904.4595
203,98926,98926,037,Standard,Kittitas County,ELLENSBURG,947568.861297733,32490465847.5645
204,98934,98934,037,PO Box,Kittitas County,KITTITAS,21908.6905747336,12289665.0654034
205,98940,98940,037,PO Box,Kittitas County,RONALD,465055.06553898,5451150404.5628
206,98941,98941,037,PO Box,Kittitas County,ROSLYN,128017.069816111,357024286.209639
207,98943,98943,037,PO Box,Kittitas County,SOUTH CLE ELUM,14265.7191524655,10064275.3951149
208,98946,98946,037,Standard,Kittitas County,THORP,148179.572806545,836663894.394367
209,98950,98950,037,PO Box,Kittitas County,VANTAGE,209701.375729641,915724778.436799
